ensembl_gene_id	chromosome_name	start_position	end_position	percentage_gene_gc_content	description
ENSG00000280162	20	1320710	1324367	49.67	TEC
ENSG00000234684	20	1325405	1378734	43.98	SDCBP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44314]
ENSG00000229728	20	1361622	1362585	40.56	novel transcript
ENSG00000088832	20	1368978	1393172	45.47	FK506 binding protein 1A [Source:HGNC Symbol;Acc:HGNC:3711]
ENSG00000284436	20	1392900	1392961	72.58	microRNA 6869 [Source:HGNC Symbol;Acc:HGNC:50056]
ENSG00000088833	20	1442162	1473842	45.86	NSFL1 cofactor [Source:HGNC Symbol;Acc:HGNC:15912]
ENSG00000196209	20	1470741	1491587	44.05	signal regulatory protein beta 2 [Source:HGNC Symbol;Acc:HGNC:16247]
ENSG00000242324	20	1516759	1557653	39.37	PTPNS (protein tyrosine phosphatase, non-receptor type substrate 1) protein family pseudogene
ENSG00000252103	20	1529056	1529159	38.46	RNA, U6 small nuclear 917, pseudogene [Source:HGNC Symbol;Acc:HGNC:47880]
ENSG00000125900	20	1534251	1558843	40.5	signal regulatory protein delta [Source:HGNC Symbol;Acc:HGNC:16248]
ENSG00000260861	20	1540144	1620009	42.96	novel protein, SIRPB1-SIRPD readthrough
ENSG00000101307	20	1563521	1620061	44.1	signal regulatory protein beta 1 [Source:HGNC Symbol;Acc:HGNC:15928]
ENSG00000271523	20	1591392	1591848	43.76	trans-golgi network vesicle protein 23 homolog B (S. cerevisiae) (TVP23B) pseudogene
ENSG00000089012	20	1629152	1657779	43.73	signal regulatory protein gamma [Source:HGNC Symbol;Acc:HGNC:15757]
ENSG00000237914	20	1633508	1648472	45.25	SIRPG antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51229]
ENSG00000223750	20	1665283	1708200	42.49	signal regulatory protein beta 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:49209]
ENSG00000242348	20	1666360	1666640	51.96	RNA, 7SL, cytoplasmic 561, pseudogene [Source:HGNC Symbol;Acc:HGNC:46577]
ENSG00000236550	20	1676662	1676907	50.41	pseudogene similar to part of PTPNS (protein tyrosine phosphatase, non-receptor type substrate) family
ENSG00000234282	20	1722045	1722537	49.7	pseudogene similar to part of PTPNS (protein tyrosine phosphatase, non-receptor type substrate) family
ENSG00000271461	20	1756756	1758940	40.09	cytoskeleton associated protein 2-like (CKAP2L) pseudogene
ENSG00000232528	20	1767957	1779995	45.19	cytoskeleton associated protein 2-like pseudogene [Source:NCBI gene;Acc:100289473]
ENSG00000230839	20	1804016	1817606	48.3	novel transcript
ENSG00000276649	20	1888128	1894374	53.13	uncharacterized LOC102724545 [Source:NCBI gene;Acc:102724545]
ENSG00000198053	20	1894167	1940592	51.36	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]
ENSG00000233896	20	1947246	2007517	46.54	PDYN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53462]
ENSG00000101327	20	1978757	1994285	48.91	prodynorphin [Source:HGNC Symbol;Acc:HGNC:8820]
ENSG00000227663	20	2075555	2075822	40.3	ribosomal protein L7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16336]
ENSG00000125834	20	2101611	2177038	48.13	serine/threonine kinase 35 [Source:HGNC Symbol;Acc:HGNC:16254]
ENSG00000226644	20	2207217	2213151	47.89	uncharacterized LOC388780 [Source:NCBI gene;Acc:388780]
ENSG00000125780	20	2296001	2341078	47.92	transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]
ENSG00000166948	20	2380908	2432753	45.19	transglutaminase 6 [Source:HGNC Symbol;Acc:HGNC:16255]
ENSG00000207305	20	2453010	2453117	38.89	
ENSG00000125835	20	2461634	2470853	46.19	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]
ENSG00000256566	20	2467212	2508907	43.86	novel transcript
ENSG00000088876	20	2481817	2524702	43.04	zinc finger protein 343 [Source:HGNC Symbol;Acc:HGNC:16017]
ENSG00000149488	20	2536607	2641784	42.82	transmembrane channel like 2 [Source:HGNC Symbol;Acc:HGNC:16527]
ENSG00000101361	20	2652145	2658393	54.33	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]
ENSG00000284481	20	2652777	2652842	71.21	microRNA 1292 [Source:HGNC Symbol;Acc:HGNC:35364]
ENSG00000221116	20	2654212	2654286	45.33	small nucleolar RNA, C/D box 110 [Source:HGNC Symbol;Acc:HGNC:32775]
ENSG00000271798	20	2655067	2655198	50.76	small nucleolar RNA, H/ACA box 51 [Source:HGNC Symbol;Acc:HGNC:32644]
ENSG00000212498	20	2656097	2656182	58.14	small nucleolar RNA, C/D box 86 [Source:HGNC Symbol;Acc:HGNC:32745]
ENSG00000229686	20	2656624	2656694	45.07	small nucleolar RNA, C/D box 56 [Source:HGNC Symbol;Acc:HGNC:10206]
ENSG00000226572	20	2656939	2657010	44.44	small nucleolar RNA, C/D box 57 [Source:HGNC Symbol;Acc:HGNC:10207]
ENSG00000101365	20	2658395	2664219	51.38	isocitrate dehydrogenase 3 (NAD(+)) beta [Source:HGNC Symbol;Acc:HGNC:5385]
ENSG00000228293	20	2664352	2665874	45.57	novel transcript
ENSG00000088881	20	2692878	2760108	49.22	early B cell factor 4 [Source:HGNC Symbol;Acc:HGNC:29278]
ENSG00000226217	20	2780614	2781041	46.96	ribosomal protein L19 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16595]
ENSG00000088882	20	2794069	2800637	59.72	carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]
ENSG00000241690	20	2814968	2818066	57.83	novel protein
ENSG00000258713	20	2814987	2815833	60.68	chromosome 20 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:16134]
ENSG00000198326	20	2816302	2820284	52.77	transmembrane protein 239 [Source:HGNC Symbol;Acc:HGNC:40044]
ENSG00000132635	20	2835314	2841190	57.7	PC-esterase domain containing 1A [Source:HGNC Symbol;Acc:HGNC:16212]
ENSG00000215305	20	2840703	2866732	48.8	VPS16, CORVET/HOPS core subunit [Source:HGNC Symbol;Acc:HGNC:14584]
ENSG00000132670	20	2864184	3039076	43.04	protein tyrosine phosphatase, receptor type A [Source:HGNC Symbol;Acc:HGNC:9664]
ENSG00000125787	20	3043622	3045747	57.71	gonadotropin releasing hormone 2 [Source:HGNC Symbol;Acc:HGNC:4420]
ENSG00000125901	20	3045945	3048254	61.08	mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:14045]
ENSG00000101405	20	3071620	3072517	71.94	oxytocin/neurophysin I prepropeptide [Source:HGNC Symbol;Acc:HGNC:8528]
ENSG00000101200	20	3082556	3084724	67.96	arginine vasopressin [Source:HGNC Symbol;Acc:HGNC:894]
ENSG00000263905	20	3094171	3094509	59.88	RNA, 7SL, cytoplasmic 555, pseudogene [Source:HGNC Symbol;Acc:HGNC:46571]
ENSG00000235958	20	3106913	3150867	47.65	UBOX5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44111]
ENSG00000185019	20	3107573	3160196	47.04	U-box domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17777]
ENSG00000215251	20	3146519	3159897	44.53	FAST kinase domains 5 [Source:HGNC Symbol;Acc:HGNC:25790]
ENSG00000088899	20	3162617	3173592	59.4	leucine zipper tumor suppressor family member 3 [Source:HGNC Symbol;Acc:HGNC:30139]
ENSG00000198171	20	3190350	3204685	54.35	DDRGK domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16110]
ENSG00000125877	20	3208868	3223870	50.89	inosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:6176]
ENSG00000088836	20	3227417	3239559	61.73	solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]
ENSG00000277287	20	3239705	3245382	55.23	novel transcript
ENSG00000088854	20	3249305	3407625	43.79	chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:17721]
ENSG00000201294	20	3360036	3360142	43.93	RNA, U6 small nuclear 1019, pseudogene [Source:HGNC Symbol;Acc:HGNC:47982]
ENSG00000226632	20	3361880	3362324	40.9	ubiquitin conjugating enzyme E2 V1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16581]
ENSG00000201346	20	3384229	3384440	43.87	
ENSG00000225116	20	3465177	3465444	36.57	pseudogene similar to part of transcription elongation factor A (SII)-like 1 TCEAL1
ENSG00000088812	20	3471040	3651122	40.34	attractin [Source:HGNC Symbol;Acc:HGNC:885]
ENSG00000230568	20	3489529	3491005	45.29	splicing factor 3a, subunit 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16576]
ENSG00000125861	20	3659292	3663399	62.73	GDNF family receptor alpha 4 [Source:HGNC Symbol;Acc:HGNC:13821]
ENSG00000149451	20	3667965	3682246	61.2	ADAM metallopeptidase domain 33 [Source:HGNC Symbol;Acc:HGNC:15478]
ENSG00000088827	20	3686970	3707128	56.25	sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]
ENSG00000132622	20	3732667	3753111	56.29	heat shock protein family A (Hsp70) member 12B [Source:HGNC Symbol;Acc:HGNC:16193]
ENSG00000101220	20	3753508	3768387	56.32	chromosome 20 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:15873]
ENSG00000101222	20	3777504	3781448	57.54	sperm flagellar 1 [Source:HGNC Symbol;Acc:HGNC:15874]
ENSG00000125817	20	3783851	3786690	66.2	centromere protein B [Source:HGNC Symbol;Acc:HGNC:1852]
ENSG00000101224	20	3786772	3806121	53.03	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]
ENSG00000275491	20	3808357	3812434	48.36	long intergenic non-protein coding RNA 1730 [Source:HGNC Symbol;Acc:HGNC:52518]
ENSG00000274949	20	3811384	3823882	52.04	novel transcript
ENSG00000125843	20	3820524	3828837	51.08	adaptor related protein complex 5 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:15875]
ENSG00000088888	20	3846799	3876123	52.52	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]
ENSG00000229539	20	3888239	3888868	53.17	novel transcript
ENSG00000125779	20	3888839	3929882	45.01	pantothenate kinase 2 [Source:HGNC Symbol;Acc:HGNC:15894]
ENSG00000199024	20	3917494	3917571	44.87	microRNA 103a-2 [Source:HGNC Symbol;Acc:HGNC:31491]
ENSG00000283320	20	3917502	3917563	46.77	microRNA 103b-2 [Source:HGNC Symbol;Acc:HGNC:35385]
ENSG00000275582	20	3921279	3923400	46.94	novel transcript, antisense to PANK2
ENSG00000101236	20	3927309	4015582	40.5	ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779]
ENSG00000226608	20	4023917	4024444	55.68	ferritin light chain pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:4000]
ENSG00000215063	20	4059633	4060113	45.53	ribosomal protein L21 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16539]
ENSG00000205300	20	4070152	4075165	49.82	novel transcript
ENSG00000088826	20	4120980	4187747	49.87	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]
ENSG00000230176	20	4193065	4195943	46.79	long intergenic non-protein coding RNA 1433 [Source:HGNC Symbol;Acc:HGNC:50746]
ENSG00000171873	20	4220631	4249074	51.58	adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]
ENSG00000236387	20	4431161	4431673	44.25	novel transcript
ENSG00000238282	20	4475638	4525200	41.28	novel transcript
ENSG00000228210	20	4590993	4591300	49.68	ribosomal protein L7a-like 2
ENSG00000226948	20	4629427	4630219	46.28	ribosomal protein S4X pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16563]
ENSG00000171867	20	4686236	4701590	41.96	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]
ENSG00000171864	20	4721910	4728460	46.36	prion like protein doppel [Source:HGNC Symbol;Acc:HGNC:15748]
ENSG00000180259	20	4731282	4740668	43.26	prion locus lncRNA, testis expressed [Source:HGNC Symbol;Acc:HGNC:18046]
ENSG00000231071	20	4735669	4736673	39.8	isopentenyl-diphosphate delta isomerase 1 (IDI1) pseudogene
ENSG00000278595	20	4761300	4761696	43.83	novel transcript
ENSG00000101265	20	4780023	4823645	49.02	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]
ENSG00000089057	20	4852356	5010293	44.93	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]
ENSG00000252096	20	4868984	4869118	49.63	
ENSG00000234573	20	5013520	5013724	43.9	RPS21 (ribosomal protein S21) pseudogene
ENSG00000277087	20	5045761	5046276	34.5	novel transcript
ENSG00000276768	20	5049857	5050321	40.65	novel transcript
ENSG00000278816	20	5061037	5061340	35.86	novel transcript
ENSG00000277425	20	5066082	5068154	50.51	novel transcript
ENSG00000089063	20	5068232	5113103	44.98	transmembrane protein 230 [Source:HGNC Symbol;Acc:HGNC:15876]
ENSG00000212536	20	5098387	5098476	55.56	RNA, 5S ribosomal pseudogene 474 [Source:HGNC Symbol;Acc:HGNC:43374]
ENSG00000252367	20	5113993	5114083	37.36	
ENSG00000132646	20	5114953	5126626	42.54	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]
ENSG00000212517	20	5121417	5121539	43.9	
ENSG00000101290	20	5126786	5197887	44.84	CDP-diacylglycerol synthase 2 [Source:HGNC Symbol;Acc:HGNC:1801]
ENSG00000225022	20	5292388	5292831	41.89	ubiquitin conjugating enzyme E2 D3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33349]
ENSG00000101292	20	5302040	5314369	43.97	prokineticin receptor 2 [Source:HGNC Symbol;Acc:HGNC:15836]
ENSG00000200313	20	5346006	5346160	42.58	RNA, 5.8S ribosomal pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:41962]
ENSG00000276688	20	5407564	5407876	32.27	novel transcript
ENSG00000226995	20	5426895	5471094	43.83	long intergenic non-protein coding RNA 658 [Source:HGNC Symbol;Acc:HGNC:44315]
ENSG00000230563	20	5471207	5475182	52.44	uncharacterized LOC643406 [Source:NCBI gene;Acc:643406]
ENSG00000205181	20	5496067	5504613	50.26	long intergenic non-protein coding RNA 654 [Source:HGNC Symbol;Acc:HGNC:27154]
ENSG00000266908	20	5499116	5502881	48.54	novel transcript
ENSG00000225640	20	5507875	5510002	49.25	long intergenic non-protein coding RNA 1729 [Source:HGNC Symbol;Acc:HGNC:52517]
ENSG00000225831	20	5532878	5533335	48.91	ribosomal protein S18 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16550]
ENSG00000235820	20	5533628	5535889	44.65	novel transcript
ENSG00000125772	20	5544404	5611026	39.24	glycerophosphocholine phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:26957]
ENSG00000233578	20	5548840	5549481	40.03	eukaryotic translation initiation factor 4E pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3292]
ENSG00000171984	20	5750393	5863912	43.35	shieldin complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:26318]
ENSG00000202380	20	5890055	5890212	50	RNA, U1 small nuclear 55, pseudogene [Source:HGNC Symbol;Acc:HGNC:48397]
ENSG00000089199	20	5911430	5925361	42.87	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]
ENSG00000215589	20	5928085	5929318	50.41	KN motif and ankyrin repeat domains 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52337]
ENSG00000089195	20	5937235	5950558	42.56	tRNA methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:20900]
ENSG00000125885	20	5950652	5998977	39.4	minichromosome maintenance 8 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:16147]
ENSG00000207380	20	5964538	5964650	38.05	
ENSG00000231961	20	5965180	5965511	44.88	pseudogene similar to part of cytochrome c oxidase I
ENSG00000278719	20	5990943	6005821	38.53	MCM8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51230]
ENSG00000275632	20	6000418	6000941	40.65	novel transcript
ENSG00000263755	20	6001733	6002030	54.36	RNA, 7SL, cytoplasmic 498, pseudogene [Source:HGNC Symbol;Acc:HGNC:46514]
ENSG00000088766	20	6006090	6040053	39.36	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]
ENSG00000125872	20	6040778	6054049	51.18	leucine rich repeat neuronal 4 [Source:HGNC Symbol;Acc:HGNC:16208]
ENSG00000278192	20	6065966	6067897	40.89	novel transcript
ENSG00000101311	20	6074845	6123544	42.72	fermitin family member 1 [Source:HGNC Symbol;Acc:HGNC:15889]
ENSG00000233402	20	6200989	6202191	43.89	TAR DNA binding protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16536]
ENSG00000234241	20	6213699	6215381	42.07	NS1-associated protein 1 (NSAP1) pseudogene
ENSG00000271565	20	6219199	6219443	40.41	ribonuclease P/MRP 40kDa subunit (RPP40) pseudogene
ENSG00000276915	20	6220330	6220759	52.09	fibroblast growth factor receptor 3 (FGFR3) pseudogene
ENSG00000229876	20	6446723	6528459	38.35	cancer susceptibility 20 [Source:HGNC Symbol;Acc:HGNC:49477]
ENSG00000228482	20	6731258	6736136	41.91	long intergenic non-protein coding RNA 1713 [Source:HGNC Symbol;Acc:HGNC:52500]
ENSG00000125845	20	6767664	6780280	43.78	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]
ENSG00000232271	20	7069614	7146656	37.11	novel transcript
ENSG00000228888	20	7146467	7254202	37.31	long intergenic non-protein coding RNA 1428 [Source:HGNC Symbol;Acc:HGNC:50738]
ENSG00000238102	20	7256580	7258214	35.9	novel transcript
ENSG00000261249	20	7302056	7307432	37.85	long intergenic non-protein coding RNA 1751 [Source:HGNC Symbol;Acc:HGNC:52539]
ENSG00000224711	20	7347467	7367632	38.94	long intergenic non-protein coding RNA 1706 [Source:HGNC Symbol;Acc:HGNC:52494]
ENSG00000278159	20	7371608	7371692	34.12	microRNA 8062 [Source:HGNC Symbol;Acc:HGNC:49975]
ENSG00000240584	20	7633562	7633851	50.34	RNA, 7SL, cytoplasmic 547, pseudogene [Source:HGNC Symbol;Acc:HGNC:46563]
ENSG00000215586	20	7831798	7832322	41.33	FUS interacting protein (serine/arginine-rich) 1 (FUSIP1) pseudogene
ENSG00000277315	20	7867327	7867614	40.97	HSPB (heat shock 27kDa) associated protein 1 (HSPBAP1) pseudogene
ENSG00000101323	20	7882981	7940474	37.88	hydroxyacid oxidase 1 [Source:HGNC Symbol;Acc:HGNC:4809]
ENSG00000125827	20	7977348	8019829	37.75	thioredoxin related transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:25237]
ENSG00000229766	20	8019223	8043512	37.49	novel transcript, antisense to TMX4
ENSG00000182621	20	8077251	8968360	38.19	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]
ENSG00000226262	20	8097824	8099774	36.14	phosphorylase kinase regulatory subunit beta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8928]
ENSG00000225479	20	8248704	8256918	37.7	PLCB1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41414]
ENSG00000201348	20	8831186	8831393	51.44	RNA, U105B small nucleolar [Source:HGNC Symbol;Acc:HGNC:10103]
ENSG00000228438	20	8929895	8930038	36.11	ribosomal protein L31 (RPL31) pseudogene
ENSG00000276385	20	8934984	8935481	49.6	CTAGE family, member 5 (CTAGE5) pseudogene
ENSG00000275222	20	8998849	8999100	50.4	
ENSG00000101333	20	9068763	9481242	39.14	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]
ENSG00000225988	20	9505180	9514998	45.81	LAMP5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40754]
ENSG00000125869	20	9514358	9530524	42.77	lysosomal associated membrane protein family member 5 [Source:HGNC Symbol;Acc:HGNC:16097]
ENSG00000101349	20	9537389	9839041	39.34	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]
ENSG00000232738	20	9575608	9577689	43.42	novel transcript
ENSG00000243961	20	9986088	10007116	36.82	PPARG activating RBM14 associated lncRNA 1 [Source:HGNC Symbol;Acc:HGNC:53772]
ENSG00000132623	20	9986126	10058303	37.26	ankyrin repeat and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15803]
ENSG00000227906	20	10021978	10368776	40.25	SNAP25 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44312]
ENSG00000276525	20	10025917	10026168	52.38	
ENSG00000230506	20	10173520	10196990	40.25	novel transcript
ENSG00000232448	20	10180235	10185775	41.04	novel transcript
ENSG00000132639	20	10218830	10307418	40.89	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]
ENSG00000237005	20	10334419	10334698	40	HIG1 hypoxia inducible domain family member 1A pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:43010]
ENSG00000214835	20	10349157	10349628	47.67	ribosomal protein L23a pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:16555]
ENSG00000230750	20	10385779	10387806	40.48	SDA1 domain containing 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31404]
ENSG00000125863	20	10401009	10434222	38.18	McKusick-Kaufman syndrome [Source:HGNC Symbol;Acc:HGNC:7108]
ENSG00000285508	20	10413520	10431922	37.41	novel protein
ENSG00000285723	20	10420546	10420737	43.75	novel protein
ENSG00000149346	20	10435303	10636829	40.51	SLX4 interacting protein [Source:HGNC Symbol;Acc:HGNC:16225]
ENSG00000235036	20	10612861	10614229	45.29	pseudogene similar to DNAJ protein
ENSG00000101384	20	10637684	10673999	47.45	jagged 1 [Source:HGNC Symbol;Acc:HGNC:6188]
ENSG00000273745	20	10649636	10649695	51.67	microRNA 6870 [Source:HGNC Symbol;Acc:HGNC:50184]
ENSG00000270792	20	10672928	10994924	40.19	novel transcript, antisense to JAG1
ENSG00000224961	20	10753090	10753966	37.51	long intergenic non-protein coding RNA 1752 [Source:HGNC Symbol;Acc:HGNC:52540]
ENSG00000234900	20	10753278	10765286	41.74	novel transcript
ENSG00000232900	20	10875333	10909272	39.11	uncharacterized LOC101929413 [Source:NCBI gene;Acc:101929413]
ENSG00000217809	20	10888582	10889088	40.43	FAT atypical cadherin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16582]
ENSG00000270777	20	11001304	11001763	33.48	novel transcript
ENSG00000125899	20	11027760	11029366	35.84	chromosome 20 open reading frame 187 (putative) [Source:HGNC Symbol;Acc:HGNC:16180]
ENSG00000230990	20	11234170	11301525	38.99	putative novel transcript.
ENSG00000235544	20	11345383	11345855	45.03	ribosomal protein S11 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16553]
ENSG00000282478	20	11536406	11541647	39.39	novel transcript
ENSG00000271397	20	11608436	11609048	59.22	lin-28 homolog A (C. elegans) (LIN28A) pseudogene
ENSG00000237256	20	11621051	11621477	53.16	phosphoglycerate mutase 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:16557]
ENSG00000261411	20	11685144	11687323	47.57	novel transcript
ENSG00000228422	20	11800463	11870715	38.78	long intergenic non-protein coding RNA 687 [Source:HGNC Symbol;Acc:HGNC:16194]
ENSG00000222281	20	11818821	11819091	50.92	RNA, 7SK small nuclear pseudogene 111 [Source:HGNC Symbol;Acc:HGNC:45835]
ENSG00000271298	20	11838355	11838574	44.09	anaphase promoting complex subunit 13 (ANAPC13) pseudogenes
ENSG00000132640	20	11890723	11926609	38.63	BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]
ENSG00000236526	20	11909404	11918677	36.76	novel transcript
ENSG00000235292	20	12243895	12244296	42.54	novel transcript
ENSG00000230437	20	12305613	12316485	39.12	novel transcript
